AL_CDA,AL_CDN,ICAO,AIRLINE,COUNTRY
6Y,930,NIS,TACA/Nicaraguense de Aviacion,Nicaragua
7B,499,KJC,KrasAir,Russia
7D,897,UDC,Donbassaero,Ukraine
7F,206,KAV,Air Kufra,Libya
7H,808,ERH,Era Aviation (Alaska Airlines Commuter),United States
7J,502,TJK,Tajikair,Tajikistan
7M,336,AAG,Air Atlantique,United Kingdom
7Q,33,TLR,Air Libya,Libya
7Z,569,LBH,Laker Bahamas,United States
8A,811,ANE,Americana,Peru
8D,319,EXV,Expo Aviation,Sri Lanka
8P,905,PCO,Pacific Coastal Airlines Limited,Canada
8U,546,AAW,Afriqiyah Airways,Libya
9A,574,ATL,Air Atlantic,Canada
9F,671,HLS,Haiti Air Freight International,Haiti
9K,306,KAP,Cape Air,United States
9M,634,GLR,Central Mountain Air,Canada
9S,89,CQH,Spring Airlines,China PRC
9U,572,MLD,Air Moldova,Moldova
9V,742,ROI,Avior Airlines,Venezuela
9Y,452,KZK,Air Kazakhstan,Kazakhstan
A3,390,AEE,Aegean Airlines,Greece
A6,527,LPV,Air Alps,Austria
A7,352,MPD,Air Comet,Spain
AA,1,AAL,American Airlines Cargo,United States
AC,14,ACA,Air Canada,Canada
AF,57,AFR,Air France,France
AG,912,ABR,Air Contractors,Ireland
AI,98,AIC,Air India,India
AL,221,TXC,Transaviaexport Airlines,Belarus
AO,110,AYC,Aviaco,Spain
AP,867,ADH,Air One,Italy
AS,27,ASA,Alaska Airlines,United States
AU,143,AUT,Austral Lineas Aereas,Argentina
1A,790,,Leader Jet,United States
2A,746,,AECA-Aeroservicios Ecuatorianos CA,Ecuador
2B,88,ARD,ATA Aerocondor Transportes Aereos,Portugal
2E,602,SCB,Sky Cabs,Sri Lanka
2F,10,IRP,Payam Air,Iran
2G,2,CRG,Cargoitalia,Italy
2J,226,VBW,Air Burkina,Burkina Faso
2M,860,MDV,Moldavian Airlines,Moldova
2P,211,GAP,Air Philippines,Philippines
2R,809,CRW,Regal (Crownair),United States
2U,454,GIP,Air Guinee Express,Guinea
3A,317,AFJ,Alliance Airlines,United States
3D,216,PMK,Palair Macedonia,Macedonia
3G,411,AYZ,Atlant-Soyuz,Russia
3H,875,AIE,Air Inuit,Canada
3J,188,AAQ,Air Alliance Inc,Canada
3K,29,VTS,Everts Air Cargo,United States
3M,449,GFT,Gulfstream International Airlines,United States
3Q,592,CYH,Yunnan Airlines,China PRC
3T,359,URN,Turan Air,Azerbaijan
3U,876,CSC,Sichuan Airlines,China PRC
3X,435,,Premier Trans Aire,United States
6Z,955,PNV,Panavia Cargo Airlines,Panama
7C,575,COY,Coyne Airways,United Kingdom
7G,513,CDO,Cargo d'Or,United Kingdom
7I,958,INC,Insel Air,Neth. Antilles
7L,164,CRN,Aero Caribbean,Cuba
7P,917,APY,APA International Air,United States
7T,144,RTM,Trans Am,Ecuador
8C,813,ATN,Air Transport International,United States
8M,209,UBA,Myanmar Airways International,Myanmar
8S,3,SCP,Scorpio Aviation,Egypt
8V,485,ACP,Astral Aviation,Kenya
9J,321,PSA,Pacific Island Aviation,Northern Marianas
9L,426,CJC,Colgan Air,United States
9R,346,VAP,Phuket Airlines,Thailand
9T,909,ABS,Transwest Air,Canada
9W,589,JAI,Jet Airways,India
A2,529,CIU,Cielos Airlines,Peru
A4,242,SWD,Southern Winds,Argentina
A8,719,BGL,Benin Golf Air,Benin
AB,745,BER,Air Berlin,Germany
AE,803,MDA,Mandarin Airlines,Taiwan ROC
AH,124,DAH,Air Algerie,Algeria
AM,139,AMX,Aeromexico,Mexico
AR,44,ARG,Aerolineas Argentinas,Argentina
AT,147,RAM,Royal Air Maroc,Morocco
AW,405,SCH,Schreiner Airways,Netherlands
AY,105,FIN,Finnair Cargo,Finland
B3,208,BLV,Bellview Airlines,Nigeria
B7,525,UIA,UNI Air,Taiwan ROC
BB,600,CBB,Cargo B,Belgium
BF,290,BBD,Bluebird Cargo,Iceland
BI,672,RBA,Royal Brunei Airlines,Brunei
BO,666,BOU,Bouraq Airlines,Indonesia
BQ,926,ROM,Aeromar,United States
BV,4,BPA,Blue Panorama Airlines,Italy
BX,970,CST,Coast Air AS,Norway
BZ,620,BDA,Blue Dart Aviation,India
C4,94,CGK,Click Airways,Sharjah
C8,488,WDY,Chicago Express Airlines,United States
CA,999,CCA,Air China,China PRC
CD,296,LLR,Air India Regional,India
CI,297,CAL,China Airlines,Taiwan ROC
CK,112,CKK,China Cargo Airlines,China PRC
CM,230,CMP,COPA Airlines,Panama
CP,18,CDN,Canadian Airlines International,Canada
